word,count
perfection,7
round,7
obtained,7
six,7
kept,7
safety,7
examiner,7
memory,7
third,7
college,7
behind,7
excellent,7
pains,7
affection,7
liberty,7
vast,7
fell,7
preface,7
figure,7
ovid,7
translated,7
instance,7
fancy,7
resemblance,7
likewise,7
ease,7
montague,7
profession,7
intention,7
self,7
friend's,7
private,7
wanted,7
secure,7
qualified,7
worth,7
worked,7
displayed,7
regular,7
succession,7
places,7
dated,7
august,7
twelve,7
ready,7
etc,7
easily,7
truly,7
advantage,7
army,7
principal,7
declined,7
street,7
periodical,7
shape,7
let,7
small,7
moment,7
clubs,7
defence,7
informed,7
britain,7
raise,7
field,7
sunderland,7
reasonable,7
superior,7
marriage,7
lieutenant,7
estate,7
kingdom,7
hard,7
behalf,7
individual,7
isaac,7
james',7
expressions,7
lane,7
morning,7
asked,7
atticus,7
gildon,7
notice,7
permission,7
distributing,7
ebooks,7
text,6
page,6
pages,6
james,6
thomas,6
lamb,6
materials,6
tragic,6
strange,6
favourable,6
charming,6
force,6
generation,6
accomplished,6
knew,6
property,6
ways,6
unless,6
impossible,6
room,6
devoted,6
claim,6
arts,6
europe,6
mixed,6
chivalry,6
carry,6
difficult,6
stood,6
efforts,6
military,6
land,6
commercial,6
dislike,6
undoubtedly,6
direction,6
favourite,6
opportunities,6
inclined,6
compliance,6
loved,6
artistic,6
apparently,6
notion,6
dunkirk,6
degree,6
seldom,6
affected,6
object,6
started,6
critics,6
representations,6
virtuous,6
indignation,6
judge,6
fall,6
freedom,6
altogether,6
wycherley,6
charm,6
neither,6
valuable,6
mankind,6
marked,6
amusement,6
hours,6
correct,6
qualities,6
appreciation,6
lichfield,6
tutor,6
presented,6
courage,6
lively,6
doctrine,6
ambitious,6
need,6
fellowship,6
using,6
behaviour,6
slight,6
moralist,6
particularly,6
thrown,6
evidently,6
direct,6
dunciad,6
attacked,6
discourse,6
encouraged,6
rude,6
judgments,6
consists,6
boileau,6
road,6
anne,6
advice,6
joined,6
offer,6
dedicated,6
names,6
miss,6
forty,6
showing,6
travelling,6
declare,6
special,6
fit,6
rest,6
five,6
mention,6
sure,6
englishman,6
delight,6
evident,6
expense,6
cut,6
merit,6
simple,6
attempt,6
adapted,6
prince,6
ceased,6
loss,6
exercised,6
desired,6
furnished,6
hope,6
meaning,6
proposed,6
expresses,6
requirements,6
complete,6
quality,6
successful,6
ill,6
glad,6
taught,6
assistance,6
furious,6
production,6
captain,6
godolphin,6
gazette,6
fiction,6
thousand,6
allusion,6
basis,6
unknown,6
duties,6
hear,6
pieces,6
frequently,6
pity,6
doubted,6
material,6
fees,6
signed,6
contact,6
newspapers,6
publish,6
species,6
hint,6
collection,6
designed,6
white's,6
nos,6
useful,6
immorality,6
series,6
whenever,6
outside,6
medium,6
distribute,6
tax,6
volunteers,6
anyone,5
whatsoever,5
included,5
online,5
note,5
spenser,5
burke,5
price,5
iv,5
quarrel,5
biographer,5
boyhood,5
button's,5
features,5
absence,5
conclude,5
satirist,5
chosen,5
elements,5
jacobite,5
national,5
representative,5
westminster,5
statesman,5
scholar,5
painter,5
wound,5
effected,5
praised,5
looking,5
pointed,5
beauties,5
remembered,5
cowley,5
philosophical,5
centuries,5
consider,5
imaginative,5
tale,5
foundations,5
capable,5
gothic,5
wars,5
reformation,5
instinct,5
followers,5
sovereign,5
fresh,5
habits,5
constantly,5
catholic,5
virgil,5
predecessors,5
conscious,5
breach,5
indicate,5
difficulties,5
vehement,5
deep,5
moneyed,5
opposed,5
spent,5
confirmed,5
visit,5
clergy,5
arguments,5
express,5
fox,5
generous,5
puritanism,5
saints,5
maintained,5
polite,5
countries,5
immediately,5
ingenious,5
elevated,5
ourselves,5
health,5
mirth,5
dignity,5
struck,5
romance,5
mistress,5
attend,5
allowed,5
sold,5
result,5
genuine,5
exhibits,5
characteristically,5
habit,5
witty,5
endeavoured,5
engaged,5
call,5
existing,5
afforded,5
denied,5
mutual,5
pass,5
comedy,5
companion,5
lie,5
triumph,5
sight,5
refined,5
courtiers,5
wealth,5
leisure,5
profits,5
perceived,5
becoming,5
increase,5
advanced,5
constitution,5
perceive,5
methods,5
milston,5
secret,5
appointment,5
children,5
zeal,5
editions,5
grow,5
designs,5
looks,5
prevented,5
sincere,5
liberal,5
superiority,5
sit,5
flow,5
grown,5
fail,5
impressed,5
woods,5
clear,5
slow,5
wide,5
thoroughly,5
otherwise,5
schools,5
notorious,5
election,5
proceeded,5
epistle,5
proof,5
placed,5
ability,5
actually,5
selected,5
dull,5
throughout,5
observe,5
compare,5
strokes,5
mus,5
entire,5
skill,5
involved,5
going,5
keeping,5
pension,5
travel,5
continent,5
abroad,5
scholars,5
intimate,5
proposal,5
active,5
source,5
effects,5
stronger,5
o'er,5
home,5
journey,5
hall,5
autumn,5
protestant,5
louis,5
hopes,5
fallen,5
versailles,5
